Date,1W,1M,3M,6M,12M,,,,,,,,,,,,,,,,,,,,,,
31-Dec-24,2.924,2.845,2.714,2.568,2.46,,,,,,,,,,,,,,,,,,,,,,
30-Dec-24,2.912,2.867,2.678,2.562,2.454,,,,,,,,,,,,,,,,,,,,,,
27-Dec-24,2.935,2.863,2.683,2.577,2.465,,,,,,,,,,,,,,,,,,,,,,
24-Dec-24,2.878,2.863,2.715,2.597,2.471,,,,,,,,,,,,,,,,,,,,,,
23-Dec-24,2.857,2.846,2.731,2.612,2.461,,,,,,,,,,,,,,,,,,,,,,
20-Dec-24,2.862,2.801,2.772,2.624,2.484,,,,,,,,,,,,,,,,,,,,,,
19-Dec-24,2.895,2.795,2.839,2.637,2.469,,,,,,,,,,,,,,,,,,,,,,
18-Dec-24,2.945,2.762,2.852,2.652,2.474,,,,,,,,,,,,,,,,,,,,,,
17-Dec-24,3.04,2.775,2.865,2.664,2.474,,,,,,,,,,,,,,,,,,,,,,
16-Dec-24,3.095,2.845,2.863,2.655,2.443,,,,,,,,,,,,,,,,,,,,,,
13-Dec-24,3.076,2.871,2.843,2.639,2.405,,,,,,,,,,,,,,,,,,,,,,
12-Dec-24,3.112,2.902,2.886,2.656,2.421,,,,,,,,,,,,,,,,,,,,,,
11-Dec-24,3.09,2.889,2.888,2.654,2.429,,,,,,,,,,,,,,,,,,,,,,
10-Dec-24,3.138,2.887,2.872,2.655,2.439,,,,,,,,,,,,,,,,,,,,,,
09-Dec-24,3.159,2.944,2.862,2.661,2.45,,,,,,,,,,,,,,,,,,,,,,
06-Dec-24,3.142,3.005,2.868,2.654,2.399,,,,,,,,,,,,,,,,,,,,,,
05-Dec-24,3.136,3.027,2.881,2.642,2.388,,,,,,,,,,,,,,,,,,,,,,
04-Dec-24,3.102,3.025,2.877,2.625,2.348,,,,,,,,,,,,,,,,,,,,,,
03-Dec-24,3.116,3.002,2.879,2.634,2.356,,,,,,,,,,,,,,,,,,,,,,
02-Dec-24,3.16,2.987,2.924,2.675,2.431,,,,,,,,,,,,,,,,,,,,,,
29-Nov-24,3.128,3.004,2.934,2.695,2.461,,,,,,,,,,,,,,,,,,,,,,
28-Nov-24,3.152,3.022,2.939,2.708,2.463,,,,,,,,,,,,,,,,,,,,,,
27-Nov-24,3.163,2.977,2.912,2.694,2.448,,,,,,,,,,,,,,,,,,,,,,
26-Nov-24,3.163,3.002,2.898,2.676,2.393,,,,,,,,,,,,,,,,,,,,,,
25-Nov-24,3.166,3.078,2.985,2.711,2.416,,,,,,,,,,,,,,,,,,,,,,
22-Nov-24,3.138,3.075,3.022,2.77,2.489,,,,,,,,,,,,,,,,,,,,,,
21-Nov-24,3.141,3.079,3.005,2.778,2.491,,,,,,,,,,,,,,,,,,,,,,
20-Nov-24,3.157,3.045,3,2.761,2.465,,,,,,,,,,,,,,,,,,,,,,
19-Nov-24,3.142,3.035,3.013,2.743,2.448,,,,,,,,,,,,,,,,,,,,,,
18-Nov-24,3.173,3.043,3.004,2.735,2.432,,,,,,,,,,,,,,,,,,,,,,
15-Nov-24,3.172,3.062,2.998,2.748,2.475,,,,,,,,,,,,,,,,,,,,,,
14-Nov-24,3.167,3.083,3.005,2.765,2.494,,,,,,,,,,,,,,,,,,,,,,
13-Nov-24,3.147,3.099,3.023,2.779,2.495,,,,,,,,,,,,,,,,,,,,,,
12-Nov-24,3.145,3.088,3.034,2.797,2.502,,,,,,,,,,,,,,,,,,,,,,
11-Nov-24,3.148,3.08,3.04,2.831,2.528,,,,,,,,,,,,,,,,,,,,,,
08-Nov-24,3.135,3.087,3.032,2.822,2.534,,,,,,,,,,,,,,,,,,,,,,
07-Nov-24,3.134,3.095,3.032,2.858,2.563,,,,,,,,,,,,,,,,,,,,,,
06-Nov-24,3.145,3.102,3.049,2.916,2.642,,,,,,,,,,,,,,,,,,,,,,
05-Nov-24,3.142,3.092,3.057,2.923,2.63,,,,,,,,,,,,,,,,,,,,,,
04-Nov-24,3.129,3.128,3.075,2.916,2.619,,,,,,,,,,,,,,,,,,,,,,
01-Nov-24,3.131,3.119,3.085,2.912,2.629,,,,,,,,,,,,,,,,,,,,,,
31-Oct-24,3.116,3.135,3.062,2.864,2.547,,,,,,,,,,,,,,,,,,,,,,
30-Oct-24,3.144,3.13,3.056,2.867,2.548,,,,,,,,,,,,,,,,,,,,,,
29-Oct-24,3.152,3.146,3.056,2.886,2.577,,,,,,,,,,,,,,,,,,,,,,
28-Oct-24,3.171,3.152,3.052,2.905,2.58,,,,,,,,,,,,,,,,,,,,,,
25-Oct-24,3.149,3.127,3.059,2.894,2.565,,,,,,,,,,,,,,,,,,,,,,
24-Oct-24,3.165,3.102,3.072,2.92,2.614,,,,,,,,,,,,,,,,,,,,,,
23-Oct-24,3.26,3.105,3.086,2.972,2.674,,,,,,,,,,,,,,,,,,,,,,
22-Oct-24,3.29,3.131,3.098,2.954,2.622,,,,,,,,,,,,,,,,,,,,,,
21-Oct-24,3.345,3.145,3.138,2.972,2.63,,,,,,,,,,,,,,,,,,,,,,
18-Oct-24,3.339,3.147,3.201,3.028,2.709,,,,,,,,,,,,,,,,,,,,,,
17-Oct-24,3.366,3.174,3.219,3.036,2.717,,,,,,,,,,,,,,,,,,,,,,
16-Oct-24,3.34,3.207,3.208,3.047,2.743,,,,,,,,,,,,,,,,,,,,,,
15-Oct-24,3.405,3.235,3.215,3.057,2.766,,,,,,,,,,,,,,,,,,,,,,
14-Oct-24,3.4,3.258,3.205,3.062,2.799,,,,,,,,,,,,,,,,,,,,,,
11-Oct-24,3.408,3.245,3.179,3.064,2.822,,,,,,,,,,,,,,,,,,,,,,
10-Oct-24,3.382,3.255,3.184,3.055,2.791,,,,,,,,,,,,,,,,,,,,,,
09-Oct-24,3.402,3.256,3.223,3.047,2.792,,,,,,,,,,,,,,,,,,,,,,
08-Oct-24,3.392,3.272,3.265,3.058,2.798,,,,,,,,,,,,,,,,,,,,,,
07-Oct-24,3.391,3.282,3.268,3.048,2.712,,,,,,,,,,,,,,,,,,,,,,
04-Oct-24,3.395,3.27,3.25,3.046,2.688,,,,,,,,,,,,,,,,,,,,,,
03-Oct-24,3.39,3.293,3.238,3.071,2.712,,,,,,,,,,,,,,,,,,,,,,
02-Oct-24,3.348,3.329,3.246,3.092,2.745,,,,,,,,,,,,,,,,,,,,,,
01-Oct-24,3.328,3.33,3.252,3.092,2.749,,,,,,,,,,,,,,,,,,,,,,
30-Sep-24,3.383,3.353,3.279,3.105,2.747,,,,,,,,,,,,,,,,,,,,,,
27-Sep-24,3.369,3.365,3.326,3.152,2.771,,,,,,,,,,,,,,,,,,,,,,
26-Sep-24,3.367,3.378,3.345,3.162,2.755,,,,,,,,,,,,,,,,,,,,,,
25-Sep-24,3.355,3.375,3.352,3.155,2.776,,,,,,,,,,,,,,,,,,,,,,
24-Sep-24,3.382,3.358,3.402,3.196,2.858,,,,,,,,,,,,,,,,,,,,,,
23-Sep-24,3.362,3.346,3.431,3.212,2.902,,,,,,,,,,,,,,,,,,,,,,
20-Sep-24,3.351,3.374,3.436,3.184,2.918,,,,,,,,,,,,,,,,,,,,,,
19-Sep-24,3.363,3.395,3.455,3.223,2.936,,,,,,,,,,,,,,,,,,,,,,
18-Sep-24,3.42,3.398,3.458,3.239,2.921,,,,,,,,,,,,,,,,,,,,,,
17-Sep-24,3.442,3.414,3.48,3.268,2.948,,,,,,,,,,,,,,,,,,,,,,
16-Sep-24,3.492,3.412,3.488,3.285,2.975,,,,,,,,,,,,,,,,,,,,,,
13-Sep-24,3.518,3.405,3.472,3.271,2.948,,,,,,,,,,,,,,,,,,,,,,
12-Sep-24,3.602,3.436,3.481,3.265,2.929,,,,,,,,,,,,,,,,,,,,,,
11-Sep-24,3.587,3.444,3.467,3.276,2.96,,,,,,,,,,,,,,,,,,,,,,
10-Sep-24,3.64,3.489,3.46,3.293,2.97,,,,,,,,,,,,,,,,,,,,,,
09-Sep-24,3.628,3.51,3.462,3.307,2.986,,,,,,,,,,,,,,,,,,,,,,
06-Sep-24,3.608,3.521,3.468,3.346,3.025,,,,,,,,,,,,,,,,,,,,,,
05-Sep-24,3.614,3.542,3.47,3.364,3.053,,,,,,,,,,,,,,,,,,,,,,
04-Sep-24,3.602,3.536,3.449,3.379,3.094,,,,,,,,,,,,,,,,,,,,,,
03-Sep-24,3.619,3.561,3.458,3.381,3.113,,,,,,,,,,,,,,,,,,,,,,
02-Sep-24,3.608,3.588,3.469,3.351,3.072,,,,,,,,,,,,,,,,,,,,,,
30-Aug-24,3.623,3.589,3.49,3.36,3.088,,,,,,,,,,,,,,,,,,,,,,
29-Aug-24,3.606,3.602,3.505,3.376,3.108,,,,,,,,,,,,,,,,,,,,,,
28-Aug-24,3.609,3.592,3.505,3.391,3.119,,,,,,,,,,,,,,,,,,,,,,
27-Aug-24,3.622,3.584,3.515,3.385,3.095,,,,,,,,,,,,,,,,,,,,,,
